Continent,Year,Temperature anomaly,Annual_Rainfall_mm
Africa,1980,-0.5552187,633.9
Africa,1981,-0.7379861,642.9
Africa,1982,-0.8422306,636.9
Africa,1983,-0.40585724,616.8
Africa,1984,-0.6878934,630.4
Africa,1985,-0.7480788,623.8
Africa,1986,-0.72252864,639.0
Africa,1987,-0.04012982,641.1
Africa,1988,-0.35063997,621.4
Africa,1989,-0.68521947,627.8
Africa,1990,-0.19178613,632.1
Africa,1991,-0.51219606,638.2
Africa,1992,-0.69307756,638.9
Africa,1993,-0.40624747,616.2
Africa,1994,-0.511772,632.4
Africa,1995,-0.25713062,636.9
Africa,1996,-0.38553524,609.5
Africa,1997,-0.36097574,622.2
Africa,1998,0.09914287,589.0
Africa,1999,-0.27456474,607.5
Africa,2000,-0.48393536,604.5
Africa,2001,-0.17089541,620.7
Africa,2002,-0.03716119,601.9
Africa,2003,0.053198654,622.7
Africa,2004,-0.07714176,624.3
Africa,2005,0.25292602,610.9
Africa,2006,-0.08255688,584.3
Africa,2007,-0.01641337,612.3
Africa,2008,-0.13692586,622.7
Africa,2009,0.19671027,616.8
Africa,2010,0.68022984,580.0
Africa,2011,-0.07747141,614.8
Africa,2012,0.00042819977,605.3
Africa,2013,0.212574,602.6
Africa,2014,0.22633903,630.3
Africa,2015,0.35377774,599.0
Africa,2016,0.69558126,602.1
Africa,2017,0.34845337,624.6
Africa,2018,0.38573456,601.6
Africa,2019,0.51708096,605.4
Africa,2020,0.46182775,610.1
Antarctica,1980,0.87547463,171.0
Antarctica,1981,0.66232824,151.6
Antarctica,1982,-0.37335125,171.1
Antarctica,1983,-0.38109526,190.4
Antarctica,1984,0.16837294,146.8
Antarctica,1985,-0.6028865,182.9
Antarctica,1986,-0.14901781,171.8
Antarctica,1987,-0.5398159,160.4
Antarctica,1988,0.20526426,200.0
Antarctica,1989,-0.34637514,181.4
Antarctica,1990,0.15002696,152.0
Antarctica,1991,0.74320954,171.1
Antarctica,1992,-0.008698463,178.7
Antarctica,1993,-0.84554785,167.2
Antarctica,1994,-0.74754685,180.2
Antarctica,1995,-0.388436,169.0
Antarctica,1996,0.4092072,180.0
Antarctica,1997,-0.6746685,191.6
Antarctica,1998,-0.5655615,159.9
Antarctica,1999,-0.63213253,173.0
Antarctica,2000,-0.3795519,163.1
Antarctica,2001,-0.08716313,171.9
Antarctica,2002,0.71220493,152.2
Antarctica,2003,-0.11535692,161.3
Antarctica,2004,-0.2730228,167.1
Antarctica,2005,0.28281975,183.5
Antarctica,2006,-0.15108792,187.2
Antarctica,2007,0.5814276,150.1
Antarctica,2008,-0.39587864,158.1
Antarctica,2009,0.6385725,179.7
Antarctica,2010,-0.44034228,140.1
Antarctica,2011,0.5825332,163.1
Antarctica,2012,-0.33910942,168.5
Antarctica,2013,0.4515438,188.9
Antarctica,2014,-0.07441028,180.3
Antarctica,2015,-0.47459045,165.1
Antarctica,2016,0.13985395,164.5
Antarctica,2017,0.02071762,166.2
Antarctica,2018,0.7436474,192.9
Antarctica,2019,0.46095943,163.6
Antarctica,2020,0.82638043,165.4
Asia,1980,-0.8267862,770.5
Asia,1981,-0.5290279,767.0
Asia,1982,-0.95897824,756.9
Asia,1983,-0.48636496,748.0
Asia,1984,-1.2378887,755.0
Asia,1985,-1.0069386,751.0
Asia,1986,-0.81576234,787.0
Asia,1987,-1.0000972,773.1
Asia,1988,-0.35428032,772.4
Asia,1989,-0.52212876,782.9
Asia,1990,-0.22061718,768.8
Asia,1991,-0.45212844,792.0
Asia,1992,-0.958611,760.7
Asia,1993,-0.7324899,777.0
Asia,1994,-0.49673787,744.2
Asia,1995,0.052955586,788.0
Asia,1996,-0.72764987,731.7
Asia,1997,-0.31448963,733.0
Asia,1998,-0.22211099,769.5
Asia,1999,-0.2232713,757.5
Asia,2000,-0.45315704,774.2
Asia,2001,-0.13833639,822.1
Asia,2002,0.09004319,765.2
Asia,2003,-0.047084603,766.6
Asia,2004,-0.07010131,782.7
Asia,2005,0.08011646,791.5
Asia,2006,-0.05615176,775.3
Asia,2007,0.5533106,786.9
Asia,2008,0.18008931,797.7
Asia,2009,-0.10900966,788.2
Asia,2010,0.05547749,760.4
Asia,2011,0.017597279,778.8
Asia,2012,-0.16057302,777.5
Asia,2013,0.18535931,762.6
Asia,2014,0.05031246,786.2
Asia,2015,0.5956431,774.8
Asia,2016,0.6278352,812.0
Asia,2017,0.6865053,797.6
Asia,2018,0.36076102,789.0
Asia,2019,0.6442593,781.1
Asia,2020,0.9816399,797.3
Australia,1980,0.3089961,382.3
Australia,1981,-0.19120066,407.8
Australia,1982,-0.35162425,434.2
Australia,1983,-0.087546825,390.3
Australia,1984,-0.78936917,452.4
Australia,1985,-0.21239693,399.1
Australia,1986,-0.17845924,435.8
Australia,1987,-0.216976,412.7
Australia,1988,0.29935852,424.2
Australia,1989,-0.47328663,433.8
Australia,1990,0.07385222,395.1
Australia,1991,0.16193636,434.7
Australia,1992,-0.49952102,454.1
Australia,1993,-0.19127353,423.8
Australia,1994,-0.1378773,419.3
Australia,1995,-0.42670235,428.3
Australia,1996,0.046986025,404.2
Australia,1997,-0.23917437,442.5
Australia,1998,0.28370896,404.8
Australia,1999,-0.4162613,429.6
Australia,2000,-0.87903756,430.1
Australia,2001,-0.7081921,428.3
Australia,2002,0.14259219,397.3
Australia,2003,0.05779616,437.4
Australia,2004,-0.089385115,419.9
Australia,2005,0.5598268,420.5
Australia,2006,-0.122312464,423.3
Australia,2007,0.10432307,407.0
Australia,2008,-0.15826742,419.1
Australia,2009,0.32668877,403.4
Australia,2010,-0.4143033,430.5
Australia,2011,-0.8187892,434.8
Australia,2012,-0.42734417,426.2
Australia,2013,0.7294695,381.1
Australia,2014,0.4269866,397.2
Australia,2015,0.338883,436.3
Australia,2016,0.23514359,404.1
Australia,2017,0.30754772,396.5
Australia,2018,0.4355154,414.2
Australia,2019,0.9575762,417.2
Australia,2020,0.41347227,387.9
Europe,1980,-1.6973101,729.3
Europe,1981,-0.5600757,694.5
Europe,1982,-0.7903285,683.3
Europe,1983,-0.2773919,708.0
Europe,1984,-0.9118405,712.4
Europe,1985,-1.9892625,740.8
Europe,1986,-1.329648,712.0
Europe,1987,-2.0373971,747.8
Europe,1988,-0.6973054,699.3
Europe,1989,0.33183208,679.6
Europe,1990,0.057486277,671.9
Europe,1991,-0.5623479,685.8
Europe,1992,-0.61744374,725.5
Europe,1993,-1.1575418,711.3
Europe,1994,-0.53939676,707.9
Europe,1995,0.09504966,687.1
Europe,1996,-1.1156782,711.3
Europe,1997,-0.7812519,701.9
Europe,1998,-0.88041395,721.5
Europe,1999,-0.14135443,689.0
Europe,2000,0.37694478,678.3
Europe,2001,-0.33541527,698.7
Europe,2002,-0.16259241,711.7
Europe,2003,-0.17454691,704.6
Europe,2004,-0.11888731,698.7
Europe,2005,0.09276087,679.2
Europe,2006,-0.11582843,672.2
Europe,2007,0.55575526,690.3
Europe,2008,0.4980872,692.0
Europe,2009,-0.00905474,688.1
Europe,2010,-0.441376,709.2
Europe,2011,0.23774876,695.8
Europe,2012,-0.0018508831,702.5
Europe,2013,0.28447446,696.7
Europe,2014,0.49312624,670.8
Europe,2015,0.84565085,691.6
Europe,2016,0.6055363,656.2
Europe,2017,0.4087322,692.7
Europe,2018,0.5159752,684.5
Europe,2019,0.7799185,683.6
Europe,2020,1.365223,684.1
North America,1980,-0.5297067,737.3
North America,1981,0.19998257,697.8
North America,1982,-1.4691005,689.7
North America,1983,-0.96049,727.3
North America,1984,-0.9046214,699.8
North America,1985,-0.9877958,714.8
North America,1986,-0.66426873,727.6
North America,1987,0.04662916,690.3
North America,1988,-0.39915958,683.4
North America,1989,-1.0139271,718.9
North America,1990,-0.7020896,715.7
North America,1991,-0.46360016,711.3
North America,1992,-1.0226675,715.6
North America,1993,-0.7737019,702.1
North America,1994,-0.46518973,692.3
North America,1995,-0.3462967,712.5
North America,1996,-0.826891,700.4
North America,1997,-0.5280877,690.3
North America,1998,0.63305384,722.6
North America,1999,0.0012496611,714.1
North America,2000,-0.2407359,721.1
North America,2001,0.22731268,700.2
North America,2002,-0.20011531,705.1
North America,2003,0.058626156,700.0
North America,2004,-0.49375162,701.7
North America,2005,0.4296756,717.9
North America,2006,0.75038546,703.3
North America,2007,-0.019647768,720.3
North America,2008,-0.43824658,720.1
North America,2009,-0.32519612,745.4
North America,2010,0.9803607,694.1
North America,2011,0.071927145,728.3
North America,2012,0.73291296,713.7
North America,2013,-0.29873475,714.8
North America,2014,-0.181361,693.3
North America,2015,0.28928807,708.1
North America,2016,1.1108766,726.1
North America,2017,0.62965536,713.8
North America,2018,0.00045889616,716.2
North America,2019,0.30935046,710.6
North America,2020,0.39908537,732.3
Oceania,1980,-0.31104723,973.3
Oceania,1981,0.049540043,937.0
Oceania,1982,-0.5279072,955.6
Oceania,1983,-0.49711847,930.7
Oceania,1984,0.0190595,915.4
Oceania,1985,-0.04293124,968.5
Oceania,1986,-0.09865228,1004.7
Oceania,1987,-0.0976127,979.0
Oceania,1988,0.16002226,959.7
Oceania,1989,0.08314522,962.8
Oceania,1990,0.16710289,1006.0
Oceania,1991,-0.4022499,975.1
Oceania,1992,-0.87072897,963.5
Oceania,1993,-0.6551611,965.8
Oceania,1994,-0.4668716,971.4
Oceania,1995,-0.15439685,993.0
Oceania,1996,-0.22865129,986.5
Oceania,1997,-0.48440734,974.6
Oceania,1998,0.4431511,968.0
Oceania,1999,0.26321372,995.5
Oceania,2000,-0.023034573,965.9
Oceania,2001,0.03638522,1002.6
Oceania,2002,-0.086847864,952.8
Oceania,2003,-0.11748767,974.9
Oceania,2004,-0.43388376,971.2
Oceania,2005,0.2887342,959.3
Oceania,2006,-0.3053286,1008.3
Oceania,2007,0.07556256,1010.7
Oceania,2008,0.051926058,971.8
Oceania,2009,-0.32322788,989.0
Oceania,2010,0.31502137,993.9
Oceania,2011,0.09641433,929.7
Oceania,2012,-0.18965173,981.2
Oceania,2013,0.42030096,987.2
Oceania,2014,0.08679724,983.4
Oceania,2015,-0.0106772585,958.2
Oceania,2016,0.60658926,986.7
Oceania,2017,0.44381475,985.3
Oceania,2018,0.5206798,1014.2
Oceania,2019,0.5436869,997.6
Oceania,2020,0.5603352,991.1
South America,1980,-0.3601842,1473.4
South America,1981,-0.49200663,1429.1
South America,1982,-0.40527835,1434.1
South America,1983,-0.21711762,1409.3
South America,1984,-0.73303443,1466.7
South America,1985,-0.66252786,1456.0
South America,1986,-0.55079585,1457.3
South America,1987,-0.10457977,1461.3
South America,1988,-0.41860437,1443.8
South America,1989,-0.56653816,1443.0
South America,1990,-0.36275005,1437.7
South America,1991,-0.40337753,1437.9
South America,1992,-0.5465627,1440.2
South America,1993,-0.36772838,1472.9
South America,1994,-0.18673833,1457.4
South America,1995,-0.17363484,1445.4
South America,1996,-0.4196763,1430.0
South America,1997,-0.036554813,1436.6
South America,1998,0.22493792,1486.6
South America,1999,-0.4528276,1451.1
South America,2000,-0.5853246,1439.6
South America,2001,-0.22919941,1438.5
South America,2002,0.017846743,1428.2
South America,2003,-9.536743e-05,1448.7
South America,2004,-0.07030487,1466.1
South America,2005,0.07827568,1443.7
South America,2006,0.06115039,1446.7
South America,2007,-0.057347298,1444.4
South America,2008,-0.0962793,1450.3
South America,2009,0.12610118,1420.7
South America,2010,0.22407262,1449.8
South America,2011,-0.040522892,1432.1
South America,2012,0.20317237,1471.8
South America,2013,0.11879873,1437.0
South America,2014,0.21604712,1465.9
South America,2015,0.6068101,1492.6
South America,2016,0.44934082,1452.7
South America,2017,0.37456098,1445.5
South America,2018,0.10679499,1456.0
South America,2019,0.45665565,1459.1
South America,2020,0.40160623,1438.2
